Face 47 :  | Normal(0,0,0) | Point[(1.36923,1.10549,2.352),(1.34346,1.17173,2.352),(1.4007,1.20035,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 48 :  | Normal(0,0,0) | Point[(1.43076,1.12308,1.944),(1.48076,1.13736,1.5),(1.44721,1.22361,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 49 :  | Normal(0,0,0) | Point[(1.43076,1.12308,1.944),(1.4007,1.20035,1.944),(1.44721,1.22361,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 50 :  | Normal(0,0,0) | Point[(1.48076,1.13736,1.5),(1.53076,1.15165,1.056),(1.49372,1.24686,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 51 :  | Normal(0,0,0) | Point[(1.48076,1.13736,1.5),(1.44721,1.22361,1.5),(1.49372,1.24686,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 52 :  | Normal(0,0,0) | Point[(1.53076,1.15165,1.056),(1.5923,1.16923,0.648),(1.55097,1.27548,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 53 :  | Normal(0,0,0) | Point[(1.53076,1.15165,1.056),(1.49372,1.24686,1.056),(1.55097,1.27548,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 54 :  | Normal(0,0,0) | Point[(1.5923,1.16923,0.648),(1.67691,1.1934,0.312),(1.62968,1.31484,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 55 :  | Normal(0,0,0) | Point[(1.5923,1.16923,0.648),(1.55097,1.27548,0.648),(1.62968,1.31484,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 56 :  | Normal(0,0,0) | Point[(1.67691,1.1934,0.312),(1.79614,1.22747,0.084),(1.74059,1.37029,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 57 :  | Normal(0,0,0) | Point[(1.67691,1.1934,0.312),(1.62968,1.31484,0.312),(1.74059,1.37029,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 58 :  | Normal(0,0,0) | Point[(1.79614,1.22747,0.084),(1.96152,1.27472,0),(1.89443,1.44721,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 59 :  | Normal(0,0,0) | Point[(1.79614,1.22747,0.084),(1.74059,1.37029,0.084),(1.89443,1.44721,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 60 :  | Normal(0,0,0) | Point[(1,1,3),(1.15384,1.07692,2.916),(1.13431,1.10745,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 61 :  | Normal(0,0,0) | Point[(1,1,3),(1,1,3),(1.13431,1.10745,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 62 :  | Normal(0,0,0) | Point[(1.15384,1.07692,2.916),(1.26475,1.13238,2.688),(1.23114,1.18491,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 63 :  | Normal(0,0,0) | Point[(1.15384,1.07692,2.916),(1.13431,1.10745,2.916),(1.23114,1.18491,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 64 :  | Normal(0,0,0) | Point[(1.26475,1.13238,2.688),(1.34346,1.17173,2.352),(1.29985,1.23988,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 65 :  | Normal(0,0,0) | Point[(1.26475,1.13238,2.688),(1.23114,1.18491,2.688),(1.29985,1.23988,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 66 :  | Normal(0,0,0) | Point[(1.34346,1.17173,2.352),(1.4007,1.20035,1.944),(1.34983,1.27986,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 67 :  | Normal(0,0,0) | Point[(1.34346,1.17173,2.352),(1.29985,1.23988,2.352),(1.34983,1.27986,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 68 :  | Normal(0,0,0) | Point[(1.4007,1.20035,1.944),(1.44721,1.22361,1.5),(1.39043,1.31235,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 69 :  | Normal(0,0,0) | Point[(1.4007,1.20035,1.944),(1.34983,1.27986,1.944),(1.39043,1.31235,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 70 :  | Normal(0,0,0) | Point[(1.44721,1.22361,1.5),(1.49372,1.24686,1.056),(1.43104,1.34483,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 71 :  | Normal(0,0,0) | Point[(1.44721,1.22361,1.5),(1.39043,1.31235,1.5),(1.43104,1.34483,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 72 :  | Normal(0,0,0) | Point[(1.49372,1.24686,1.056),(1.55097,1.27548,0.648),(1.48102,1.38481,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 73 :  | Normal(0,0,0) | Point[(1.49372,1.24686,1.056),(1.43104,1.34483,1.056),(1.48102,1.38481,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 74 :  | Normal(0,0,0) | Point[(1.55097,1.27548,0.648),(1.62968,1.31484,0.312),(1.54973,1.43979,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 75 :  | Normal(0,0,0) | Point[(1.55097,1.27548,0.648),(1.48102,1.38481,0.648),(1.54973,1.43979,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 76 :  | Normal(0,0,0) | Point[(1.62968,1.31484,0.312),(1.74059,1.37029,0.084),(1.64656,1.51725,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 77 :  | Normal(0,0,0) | Point[(1.62968,1.31484,0.312),(1.54973,1.43979,0.312),(1.64656,1.51725,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 78 :  | Normal(0,0,0) | Point[(1.74059,1.37029,0.084),(1.89443,1.44721,0),(1.78087,1.6247,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 79 :  | Normal(0,0,0) | Point[(1.74059,1.37029,0.084),(1.64656,1.51725,0.084),(1.78087,1.6247,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 80 :  | Normal(0,0,0) | Point[(1,1,3),(1.13431,1.10745,2.916),(1.10745,1.13431,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 81 :  | Normal(0,0,0) | Point[(1,1,3),(1,1,3),(1.10745,1.13431,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 82 :  | Normal(0,0,0) | Point[(1.13431,1.10745,2.916),(1.23114,1.18491,2.688),(1.18491,1.23114,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 83 :  | Normal(0,0,0) | Point[(1.13431,1.10745,2.916),(1.10745,1.13431,2.916),(1.18491,1.23114,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 84 :  | Normal(0,0,0) | Point[(1.23114,1.18491,2.688),(1.29985,1.23988,2.352),(1.23988,1.29985,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 85 :  | Normal(0,0,0) | Point[(1.23114,1.18491,2.688),(1.18491,1.23114,2.688),(1.23988,1.29985,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 86 :  | Normal(0,0,0) | Point[(1.29985,1.23988,2.352),(1.34983,1.27986,1.944),(1.27986,1.34983,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 87 :  | Normal(0,0,0) | Point[(1.29985,1.23988,2.352),(1.23988,1.29985,2.352),(1.27986,1.34983,1.944)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 88 :  | Normal(0,0,0) | Point[(1.34983,1.27986,1.944),(1.39043,1.31235,1.5),(1.31235,1.39043,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 89 :  | Normal(0,0,0) | Point[(1.34983,1.27986,1.944),(1.27986,1.34983,1.944),(1.31235,1.39043,1.5)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 90 :  | Normal(0,0,0) | Point[(1.39043,1.31235,1.5),(1.43104,1.34483,1.056),(1.34483,1.43104,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 91 :  | Normal(0,0,0) | Point[(1.39043,1.31235,1.5),(1.31235,1.39043,1.5),(1.34483,1.43104,1.056)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 92 :  | Normal(0,0,0) | Point[(1.43104,1.34483,1.056),(1.48102,1.38481,0.648),(1.38481,1.48102,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 93 :  | Normal(0,0,0) | Point[(1.43104,1.34483,1.056),(1.34483,1.43104,1.056),(1.38481,1.48102,0.648)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 94 :  | Normal(0,0,0) | Point[(1.48102,1.38481,0.648),(1.54973,1.43979,0.312),(1.43979,1.54973,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 95 :  | Normal(0,0,0) | Point[(1.48102,1.38481,0.648),(1.38481,1.48102,0.648),(1.43979,1.54973,0.312)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 96 :  | Normal(0,0,0) | Point[(1.54973,1.43979,0.312),(1.64656,1.51725,0.084),(1.51725,1.64656,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 97 :  | Normal(0,0,0) | Point[(1.54973,1.43979,0.312),(1.43979,1.54973,0.312),(1.51725,1.64656,0.084)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 98 :  | Normal(0,0,0) | Point[(1.64656,1.51725,0.084),(1.78087,1.6247,0),(1.6247,1.78087,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 99 :  | Normal(0,0,0) | Point[(1.64656,1.51725,0.084),(1.51725,1.64656,0.084),(1.6247,1.78087,0)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 100 :  | Normal(0,0,0) | Point[(1,1,3),(1.10745,1.13431,2.916),(1.07692,1.15384,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 101 :  | Normal(0,0,0) | Point[(1,1,3),(1,1,3),(1.07692,1.15384,2.916)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 102 :  | Normal(0,0,0) | Point[(1.10745,1.13431,2.916),(1.18491,1.23114,2.688),(1.13238,1.26475,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 103 :  | Normal(0,0,0) | Point[(1.10745,1.13431,2.916),(1.07692,1.15384,2.916),(1.13238,1.26475,2.688)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
Face 104 :  | Normal(0,0,0) | Point[(1.18491,1.23114,2.688),(1.23988,1.29985,2.352),(1.17173,1.34346,2.352)] | Node[-1,-1,-1] | Edge[-1,-1,-1]
